Mã hàng hóa (*)	Tên hàng hóa (*)	Loại (*)	Nhóm hàng hóa	Đơn vị tính	Giá	%VAT	Công khai	Ghi chú
BRT-L2	Bột rút thép loại 2	Thành phẩm	Bột	kg	9000		Không	
BRT-L1	Bột rút thép loại 1	Thành phẩm	Bột	kg	12000		Không	
